epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.427,2.48564,2.06579,1.23445,0.56706,0.59588,0.5471,0.19307,2.09429,1.54233,1.16116,0.000661499,0.000661499,0.000661499
2,345.543,2.23158,1.49178,1.13367,0.57306,0.62026,0.56347,0.18673,2.10671,1.49969,1.14398,0.00126242,0.00126242,0.00126242
3,512.69,2.18852,1.41846,1.11341,0.64685,0.65793,0.65691,0.2244,1.99844,1.44712,1.09417,0.00179734,0.00179734,0.00179734
4,685.152,2.16728,1.35935,1.09954,0.61671,0.67189,0.61789,0.20883,2.14112,1.45599,1.14934,0.001703,0.001703,0.001703
5,849.989,2.12622,1.31661,1.10378,0.64905,0.67898,0.67146,0.22855,2.04267,1.38819,1.107,0.001604,0.001604,0.001604
6,1014.92,2.11183,1.29201,1.09308,0.66124,0.68155,0.67566,0.24145,1.99511,1.22032,1.09974,0.001505,0.001505,0.001505
7,1177.34,2.09241,1.24793,1.07488,0.72842,0.7157,0.7354,0.26366,1.96667,1.19546,1.08956,0.001406,0.001406,0.001406
8,1339.35,2.09013,1.21875,1.08761,0.70766,0.73116,0.73082,0.27466,1.94921,1.22676,1.07706,0.001307,0.001307,0.001307
9,1500.51,2.07518,1.2086,1.08277,0.71559,0.67534,0.7183,0.26915,1.9571,1.23648,1.08148,0.001208,0.001208,0.001208
10,2306.9,2.06288,1.19389,1.07582,0.72297,0.73521,0.75199,0.28218,1.95472,1.16134,1.07918,0.001109,0.001109,0.001109
11,2464.83,2.02265,1.19134,1.11153,0.71434,0.73223,0.75399,0.27287,2.02584,1.16394,1.0888,0.00101,0.00101,0.00101
12,2635.27,1.98958,1.15851,1.086,0.72869,0.73131,0.75111,0.28389,1.95804,1.14434,1.07984,0.000911,0.000911,0.000911
13,2806.22,1.99098,1.15337,1.08885,0.74518,0.7529,0.77067,0.28663,1.94568,1.10921,1.0713,0.000812,0.000812,0.000812
14,2987.7,1.98106,1.13308,1.08803,0.75128,0.76659,0.78429,0.30763,1.88259,1.08684,1.06597,0.000713,0.000713,0.000713
15,3151.35,1.97062,1.11592,1.07961,0.73173,0.77067,0.77197,0.29678,1.92799,1.09018,1.06441,0.000614,0.000614,0.000614
16,3318.26,1.95886,1.09871,1.07432,0.74475,0.75929,0.77818,0.30234,1.91392,1.0632,1.06271,0.000515,0.000515,0.000515
17,3483.03,1.97307,1.0919,1.08708,0.75396,0.76788,0.78146,0.31104,1.90438,1.05695,1.06553,0.000416,0.000416,0.000416
18,3650.94,1.93874,1.08012,1.07584,0.76692,0.7595,0.79405,0.30885,1.91337,1.05006,1.05695,0.000317,0.000317,0.000317
19,3815.65,1.92497,1.06874,1.07057,0.7679,0.76659,0.80129,0.31447,1.89649,1.03892,1.05436,0.000218,0.000218,0.000218
20,3982.12,1.9151,1.05462,1.06463,0.75902,0.77969,0.80269,0.32278,1.87678,1.02275,1.0518,0.000119,0.000119,0.000119
